City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Mount Isa,AU,85.77,-20.7333,139.5,Ibis Styles
3,Omboue,GA,83.88,-1.5746,9.2618,Georges Faustin Aurat
5,Diffa,NE,73.24,13.3154,12.6113,UNHCR guest house
10,Axim,GH,83.28,4.8699,-2.2405,Axim Beach Hotel
11,Butaritari,KI,80.78,3.0707,172.7902,No hotel found
12,Vaini,TO,78.96,-21.2,-175.2,Keleti International Resort
13,Busselton,AU,78.53,-33.65,115.3333,No hotel found
16,Bredasdorp,ZA,77.74,-34.5322,20.0403,Victoria Hotel
23,Hermanus,ZA,73.18,-34.4187,19.2345,Aloe guest house
25,Grand Gaube,MU,84.6,-20.0064,57.6608,Coco Villa
26,Cayenne,GF,77.04,4.9333,-52.3333,Central Hôtel
27,Abu Dhabi,AE,77.11,24.4667,54.3667,Marriott Downtown Abu-Dhabi
29,Rikitea,PF,77.83,-23.1203,-134.9692,Chez Bianca & Benoit
32,Hilo,US,79.29,19.7297,-155.09,Dolphin Bay Hotel
36,East London,ZA,76.14,-33.0153,27.9116,No hotel found
38,Lethem,GY,72.37,3.3803,-59.7968,Hotel Amazonas
42,Angoche,MZ,86.49,-16.2325,39.9086,Hotel Quirimbas
48,Acapulco,MX,73.22,16.8634,-99.8901,Hotel del Valle
49,Manokwari,ID,81.97,-0.8667,134.0833,Hotel Arfak
50,New Norfolk,AU,77.92,-42.7826,147.0587,Woodbridge on the Derwent
52,Puerto Ayora,EC,73.54,-0.7393,-90.3518,Hostal La Mirada De Solitario George
58,Port-Gentil,GA,84.16,-0.7193,8.7815,Tara-Mé
60,Hambantota,LK,83.07,6.1241,81.1185,Oasis Aurweda Resort Hambathota
61,Hobart,AU,79.05,-42.8794,147.3294,Vibe Hotel Hobart
64,Kayes,ML,75.87,14.0,-11.0,No hotel found
65,Pemangkat,ID,81.46,1.1667,108.9667,Hotel Kelapa Gading
67,Mvuma,ZW,79.07,-19.2792,30.5283,No hotel found
71,Kirakira,SB,76.66,-10.4544,161.9205,No hotel found
74,Poum,NC,80.85,-20.2333,164.0167,No hotel found
75,Port Alfred,ZA,76.17,-33.5906,26.891,No hotel found
77,Howard Springs,AU,85.91,-12.497,131.047,No hotel found
79,Abeokuta,NG,85.86,7.15,3.35,Green Legacy Resort
83,Touros,BR,79.11,-5.1989,-35.4608,Pousada Atlântico
84,Calabozo,VE,72.97,8.9242,-67.4293,Hotel Plaza Real
89,Hirara,JP,73.67,24.8,125.2833,古謝そば屋
91,Mongo,TD,82.72,12.1844,18.693,No hotel found
92,Saint-Philippe,RE,87.39,-21.3585,55.7679,Le Baril
95,Pamekasan,ID,84.81,-7.1568,113.4746,Hotel Ramayana
100,Maceio,BR,74.64,-9.6658,-35.7353,Maceió Hostel e Pousada
101,Dong Hoi,VN,85.39,17.4833,106.6,Nhà hàng Amor Palace
103,Benguela,AO,80.19,-12.5763,13.4055,Hotel Moibela
110,Gold Coast,AU,74.17,-28.0,153.4333,The Sands Apartments
113,Guaruja,BR,80.83,-23.9931,-46.2564,Pousada
116,Atuona,PF,77.59,-9.8,-139.0333,Pearl Resort
118,Carnarvon,AU,82.26,-24.8667,113.6333,No hotel found
120,Ballina,AU,72.79,-28.8667,153.5667,Ballina Beach Resort
121,Georgetown,MY,87.73,5.4112,100.3354,Page 63 hostel
122,Kavaratti,IN,80.6,10.5669,72.642,No hotel found
123,Cabedelo,BR,77.67,-6.9811,-34.8339,No hotel found
124,Atambua,ID,79.54,-9.1061,124.8925,Hotel Matahari
125,Kruisfontein,ZA,74.88,-34.0033,24.7314,No hotel found
130,Hiriyur,IN,86.0,13.9456,76.6192,Hotel Surya
131,Beloha,MG,89.78,-25.1667,45.05,No hotel found
136,Cape Town,ZA,79.11,-33.9258,18.4232,Townhouse Hotel
137,Bengkulu,ID,82.94,-3.8004,102.2655,Dena Hotel
138,Alofi,NU,71.49,-19.0595,-169.9187,No hotel found
142,Kaliua,TZ,74.7,-5.0606,31.7936,No hotel found
147,Sinnamary,GF,75.24,5.3833,-52.95,Hôtel du fleuve
150,Tenenkou,ML,73.53,14.4572,-4.9169,No hotel found
152,Sibu,MY,82.71,2.3,111.8167,The Paramount Hotel
155,Souillac,MU,84.58,-20.5167,57.5167,Hotel SkylineInn
161,Kieta,PG,81.34,-6.2167,155.6333,No hotel found
164,Sumbe,AO,79.99,-11.2061,13.8437,No hotel found
165,Victoria,HK,77.2,22.2855,114.1577,四季酒店 Four Seasons Hotel
166,Padang,ID,86.05,-0.9492,100.3543,losmen Surya
172,Sao Jose Da Coroa Grande,BR,77.43,-8.8978,-35.1478,Hotel do Sol
173,Dumjor,IN,84.15,22.6408,88.2203,No hotel found
174,La Asuncion,VE,74.93,11.0333,-63.8628,Hotel La Ciudad
177,Mahebourg,MU,84.49,-20.4081,57.7,Grand Bel Air
180,Rangkasbitung,ID,87.49,-6.3591,106.2494,Wisma Sugri
182,Bathsheba,BB,77.61,13.2167,-59.5167,Atlantis Hotel
187,Lorengau,PG,82.27,-2.0226,147.2712,Seeadler Bay Hotel
188,Oistins,BB,77.09,13.0667,-59.5333,The Abidah By Accra
189,Hobyo,SO,81.41,5.3505,48.5268,No hotel found
190,Uaua,BR,71.46,-9.8414,-39.4817,Hotel Uauá
191,Beoumi,CI,80.64,7.6736,-5.5764,Hotel Amani 07 87 50 76
192,Hithadhoo,MV,80.15,-0.6,73.0833,Pebbles Inn
193,Arraial Do Cabo,BR,76.86,-22.9661,-42.0278,No hotel found
205,San Juan,AR,72.52,-31.5375,-68.5364,Hotel San Francisco
206,Kon Tum,VN,84.81,14.35,108.0,Bich Hin
207,Sibolga,ID,81.84,1.7427,98.7792,Hotel Prima Indah
208,Paredon,MX,71.76,16.0333,-93.8667,No hotel found
209,Garissa,KE,88.39,-0.4536,39.6401,Hiddig Hotel
212,Rabak,SD,80.6,13.1809,32.74,No hotel found
217,Inirida,CO,70.81,3.8653,-67.9239,Residencias El Turista del Guainia
226,Kanye,BW,83.14,-24.9667,25.3327,No hotel found
227,Kihei,US,72.84,20.785,-156.4656,Maui Beach Resort
230,Palu,ID,84.9,-0.8917,119.8707,Ujung Pandang Hotel
231,Langsa,ID,84.99,4.4683,97.9683,Harmoni Hotel
232,Sao Filipe,CV,73.51,14.8961,-24.4956,Bela Vista
233,Itoman,JP,73.78,26.1247,127.6694,No hotel found
234,Kununurra,AU,78.78,-15.7667,128.7333,Kununurra Country Club Resort
236,Port Elizabeth,ZA,77.09,-33.918,25.5701,Waterford Hotel
238,Nishihara,JP,73.06,26.1842,127.7558,ユインチホテル南城
241,Aden,YE,78.15,12.7794,45.0367,فندق قصر الجزيرة
248,Dingle,PH,76.28,10.9995,122.6711,No hotel found
252,Vao,NC,77.83,-22.6667,167.4833,Nataiwatch
253,Sao Jose Do Belmonte,BR,70.75,-7.8614,-38.7597,No hotel found
254,Dwarka,IN,71.22,22.2394,68.9678,The Dwarika Hotel
255,Kavieng,PG,82.27,-2.5744,150.7967,Kavieng Hotel
256,Jega,NG,74.71,12.2175,4.3792,No hotel found
258,Davila,PH,82.38,18.4726,120.5763,Blue Ridge Beach Resort
264,Hatta,IN,75.76,24.1167,79.6,No hotel found
265,Bandarbeyla,SO,78.66,9.4942,50.8122,No hotel found
269,Rameswaram,IN,76.69,9.2833,79.3,Hyatt Place Hotel
270,Ngorongoro,TZ,70.23,-3.2397,35.4875,&Beyond Ngorongoro Crater Lodge
275,Cockburn Town,TC,77.83,21.4612,-71.1419,The Salt Raker Inn
279,Antalaha,MG,84.54,-14.9003,50.2788,Hôtel Florida
283,Bonthe,SL,77.63,7.5264,-12.505,No hotel found
284,Limulunga,ZM,73.11,-15.0969,23.1376,St. Lawrence Lodge
286,Quatre Cocos,MU,84.31,-20.2078,57.7625,Horisun
295,Karema,TZ,75.85,-6.8205,30.4389,No hotel found
298,Gweta,BW,85.57,-20.1833,25.2333,Gweta Lodge
303,Camacari,BR,80.37,-12.6975,-38.3242,Hotel Uberlândia
308,Hojai,IN,75.4,26.0,92.8667,No hotel found
309,Yenagoa,NG,88.48,4.9247,6.2642,Peretimi Hotels Ltd.
312,Tezu,IN,71.37,27.9167,96.1667,No hotel found
